Location ID,10/12 Usage,11/12 Usage,12/12 Usage,1/13 Usage,2/13 Usage,3/13 Usage,4/13 Usage,5/13 Usage,6/13 Usage,7/13 Usage,8/13 Usage,9/13 Usage,Service Address
344,4,6,6,5,7,5,5,5,6,4,5,5,114 W ASH ST
346,1,0,1,2,1,2,1,1,1,2,7,5,120 W ASH ST APT
348,3,3,4,5,8,6,16,13,11,10,5,4,120 W ASH ST APT
350,2,3,3,2,1,2,3,2,3,2,2,2,120 W ASH ST APT 3
352,1,2,3,2,10,5,1,4,4,2,2,0,120 W ASH ST APT
354,2,4,3,3,2,3,3,3,3,2,3,3,202 W ASH ST APT 106
356,0,1,0,0,0,0,0,0,3,0,0,3,202 W ASH ST APT
358,5,3,3,4,0,3,2,3,3,2,2,3,202 W ASH ST APT 105
360,4,4,4,6,2,2,8,8,6,4,5,0,202 W ASH ST APT 7
362,7,10,6,7,5,5,8,8,8,7,5,10,202 W ASH ST APT 5
364,2,4,2,2,3,3,3,7,3,8,4,0,202 W ASH ST APT
366,3,5,3,3,3,4,3,3,4,3,4,3,202 W ASH ST APT 102
368,4,5,2,3,6,4,3,4,4,4,6,0,202 W ASH ST APT 104
370,4,6,7,9,2,7,8,8,9,6,6,5,202 W ASH ST APT 3
372,1,4,4,5,6,5,5,4,5,4,3,3,202 W ASH ST APT
374,4,2,2,2,6,0,0,0,1,0,0,0,202 W ASH ST APT 4
378,0,0,1,2,9,6,0,3,7,6,7,10,206 W ASH ST 
380,8,6,7,9,8,8,7,9,16,1,10,5,210 W ASH ST
382,5,6,4,6,0,4,3,4,4,4,4,6,122 MCBAINE AVE
384,1,1,5,2,2,2,2,1,1,1,1,2,120 MCBAINE AVE 
386,2,2,2,3,2,4,65,25,6,6,6,7,118 MCBAINE AVE 
388,2,3,3,2,2,3,2,2,3,2,2,4,116 MCBAINE AVE 
390,4,3,3,6,4,4,6,4,4,3,4,3,114 MCBAINE AVE
392,3,4,2,3,0,2,3,4,2,3,2,2,112 MCBAINE AVE
396,0,1,1,1,1,1,1,0,3,11,14,8,108 MCBAINE AVE 
398,4,4,3,2,1,3,0,0,0,0,4,11,106 MCBAINE AVE 
400,7,8,10,8,12,9,8,9,10,8,9,10,104 MCBAINE AVE 
426,8,8,7,4,8,4,4,3,4,4,2,4,202 W ASH ST APT 101
428,0,6,4,5,6,6,3,4,6,4,2,3,202 W ASH ST APT
430,2,3,2,2,3,2,3,2,1,2,2,3,20 MCBAINE AVE 
432,5,5,5,5,4,8,1,4,4,3,3,4,18 MCBAINE AVE 
434,2,1,3,1,3,1,2,2,2,2,2,2,16 MCBAINE AVE
436,2,2,4,4,4,4,1,3,3,2,3,3,14 MCBAINE AVE
438,4,6,4,4,5,5,4,4,5,5,19,15,12 MCBAINE AVE 
440,0,4,4,3,3,3,6,3,3,3,3,4,10 MCBAINE AVE
442,3,4,4,2,8,2,1,2,3,30,4,8,8 MCBAINE AVE
444,6,8,6,6,6,5,9,8,8,5,8,8,6 MCBAINE AVE
446,0,0,0,0,1,0,0,1,9,5,9,10,221 W BROADWAY
448,6,2,3,2,1,0,0,0,10,6,8,7,219 W BROADWAY 
616,4,4,4,5,1,4,2,3,4,3,20,6,3 MCBAINE AVE 
618,3,3,4,3,4,3,3,4,3,3,4,4,5 MCBAINE AVE
620,7,8,7,7,12,9,4,7,7,6,8,10,7 MCBAINE AVE
622,4,5,2,4,1,3,5,3,6,3,1,0,9 MCBAINE AVE
626,4,4,5,5,5,5,3,5,5,4,4,5,15 MCBAINE AVE
628,0,0,30,13,1,4,3,4,4,4,3,3,101 MCBAINE AVE 
630,5,6,6,6,5,3,6,5,6,5,4,7,103 MCBAINE AVE
632,4,3,4,3,6,5,4,2,4,3,4,4,105 MCBAINE AVE 
634,3,3,2,3,2,2,3,3,2,2,3,6,107 MCBAINE AVE
636,2,4,4,3,4,4,1,3,2,4,3,3,109 MCBAINE AVE
638,1,1,1,1,1,1,0,1,1,1,1,1,111 MCBAINE AVE 
640,9,25,36,18,64,31,54,48,60,0,7,6,115 MCBAINE AVE
642,4,4,4,8,1,4,4,4,3,3,3,5,121 MCBAINE AVE
646,1,1,2,2,2,1,3,1,2,2,0,3,116 ALDEAH AVE
648,1,2,2,1,2,1,1,2,2,1,2,3,114 ALDEAH AVE 
650,2,2,2,1,2,2,1,2,3,2,2,3,112 ALDEAH AVE
652,3,3,4,3,3,3,3,3,3,3,5,3,110 ALDEAH AVE 
654,2,1,2,2,0,1,2,1,1,2,1,2,108 ALDEAH AVE 
656,7,8,7,7,6,7,5,8,8,8,8,10,106 ALDEAH AVE 
658,3,4,5,4,3,4,5,5,5,5,5,4,104 ALDEAH AVE 
660,2,2,3,4,1,3,1,4,5,2,5,5,102 ALDEAH AVE
662,1,3,3,3,3,4,2,3,3,3,5,8,100 ALDEAH AVE
664,2,2,3,3,3,3,2,3,6,7,4,5,24 ALDEAH AVE
666,3,3,2,2,4,3,2,4,7,3,10,9,22 ALDEAH AVE 
668,4,5,4,4,3,3,1,1,1,2,2,7,20 ALDEAH AVE 
670,2,2,2,3,0,2,1,2,2,2,6,3,18 ALDEAH AVE
672,15,3,4,3,4,3,3,4,5,3,3,4,14 ALDEAH AVE 
674,9,4,5,5,4,5,4,4,5,4,5,8,12 ALDEAH AVE
676,4,13,8,6,7,9,3,5,6,5,6,7,10 ALDEAH AVE
