location,month,year,water_usage
344,10,2012,2992
346,10,2012,748
348,10,2012,2244
350,10,2012,1496
352,10,2012,748
354,10,2012,1496
356,10,2012,0
358,10,2012,3740
360,10,2012,2992
362,10,2012,5236
364,10,2012,1496
366,10,2012,2244
368,10,2012,2992
370,10,2012,2992
372,10,2012,748
374,10,2012,2992
378,10,2012,0
380,10,2012,5984
382,10,2012,3740
384,10,2012,748
386,10,2012,1496
388,10,2012,1496
390,10,2012,2992
392,10,2012,2244
396,10,2012,0
398,10,2012,2992
400,10,2012,5236
426,10,2012,5984
428,10,2012,0
430,10,2012,1496
432,10,2012,3740
434,10,2012,1496
436,10,2012,1496
438,10,2012,2992
440,10,2012,0
442,10,2012,2244
444,10,2012,4488
446,10,2012,0
448,10,2012,4488
616,10,2012,2992
618,10,2012,2244
620,10,2012,5236
622,10,2012,2992
626,10,2012,2992
628,10,2012,0
630,10,2012,3740
632,10,2012,2992
634,10,2012,2244
636,10,2012,1496
638,10,2012,748
640,10,2012,6732
642,10,2012,2992
646,10,2012,748
648,10,2012,748
650,10,2012,1496
652,10,2012,2244
654,10,2012,1496
656,10,2012,5236
658,10,2012,2244
660,10,2012,1496
662,10,2012,748
664,10,2012,1496
666,10,2012,2244
668,10,2012,2992
670,10,2012,1496
672,10,2012,11220
674,10,2012,6732
676,10,2012,2992
678,10,2012,2992
680,10,2012,0
682,10,2012,4488
702,10,2012,3740
704,10,2012,1496
706,10,2012,1496
708,10,2012,748
710,10,2012,9724
712,10,2012,2244
714,10,2012,2244
716,10,2012,3740
718,10,2012,2244
720,10,2012,748
722,10,2012,748
724,10,2012,1496
726,10,2012,1496
728,10,2012,5984
730,10,2012,0
732,10,2012,5236
734,10,2012,0
736,10,2012,1496
738,10,2012,7480
740,10,2012,748
742,10,2012,0
744,10,2012,748
746,10,2012,2244
748,10,2012,8976
750,10,2012,2244
752,10,2012,2992
754,10,2012,0
756,10,2012,4488
758,10,2012,2244
760,10,2012,3740
762,10,2012,2992
764,10,2012,2244
766,10,2012,1496
768,10,2012,1496
770,10,2012,3740
772,10,2012,748
774,10,2012,1496
776,10,2012,1496
778,10,2012,2992
780,10,2012,4488
782,10,2012,3740
784,10,2012,1496
786,10,2012,2992
788,10,2012,0
790,10,2012,2992
792,10,2012,2992
802,10,2012,2244
804,10,2012,4488
806,10,2012,3740
808,10,2012,3740
810,10,2012,4488
812,10,2012,2244
814,10,2012,2992
816,10,2012,7480
818,10,2012,3740
820,10,2012,2244
822,10,2012,2244
824,10,2012,1496
826,10,2012,1496
828,10,2012,2992
830,10,2012,0
832,10,2012,1496
